name,prompt,negative_prompt
Game Streetfighter,"Street Fighter style {prompt}, vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy"
Game Zelda,"Legend of Zelda style {prompt}, vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror"
Isometric,"isometric style, {prompt}, vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
Line art,"line art drawing, {prompt}, professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
Lowpoly,"low-poly style, {prompt}, low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
Misc Architectural,"architectural style {prompt}, clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge"
Misc Disco,"disco-themed {prompt}, vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic"
Misc Dreamscape,"dreamscape {prompt}, surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane"
Misc Dystopian,"dystopian style {prompt}, bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful"
Misc Fairy Tale,"fairy tale {prompt}, magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane"
Misc Gothic,"gothic style {prompt}, dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic"
Misc Grunge,"grunge style {prompt}, textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic"
Misc Horror,"horror-themed {prompt}, eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute"
Misc Kawaii,"kawaii style {prompt}, cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract"
Misc Lovecraftian,"lovecraftian horror {prompt}, eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed","light-hearted, mundane, familiar, simplistic, realistic"
Misc Macabre,"macabre style {prompt}, dark, gothic, grim, haunting, highly detailed","bright, cheerful, light-hearted, cartoonish, cute"
Misc Manga,"manga style {prompt}, vibrant, high-energy, detailed, iconic, Japanese comic style","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, Western comic style"
Misc Metropolis,"metropolis-themed {prompt}, urban, cityscape, skyscrapers, modern, futuristic, highly detailed","rural, natural, rustic, historical, simple"
Misc Minimalist,"minimalist style {prompt}, simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy"
Misc Monochrome,"monochrome {prompt}, black and white, contrast, tone, texture, detailed","colorful, vibrant, noisy, blurry, deformed"
Misc Nautical,"nautical-themed {prompt}, sea, ocean, ships, maritime, beach, marine life, highly detailed","landlocked, desert, mountains, urban, rustic"
Misc Space,"space-themed {prompt}, cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed","earthly, mundane, ground-based, realism"
Misc Stained Glass,"stained glass style {prompt}, vibrant, beautiful, translucent, intricate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
Misc Techwear Fashion,"techwear fashion {prompt}, futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed","vintage, rural, colorful, low contrast, realism, sketch, watercolor"
Misc Tribal,"tribal style {prompt}, indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel"
Misc Zentangle,"zentangle {prompt}, intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color"
Negative Prompt,,"(NSFW), nude, naked, Asian, doll, sketch, painting, book cover, 8bit, pixel art, pixelart, b&w, blac and white, text, monochrome, watermark, plastic, canvas frame, blurry, ugly, closed eyes, elongated body, elongated neck, out of frame, disfigured, deformed, extra fingers, fused fingers, stump fingers, extra arms, extra hands, extra feets, extra legs, mutated hands, poorly drawn hands, extra arms, extra legs, mutated hands, mutated fingers, mutation, mutated, crossed eyes, (poorly drawn face:1.4), (worst quality, low quality, normal quality:1.4)"
Neon punk,"neonpunk style, {prompt}, cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
Origami,"origami style, {prompt}, paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
Papercraft Collage,"collage style {prompt}, mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
Papercraft Flat Papercut,"flat papercut style {prompt}, silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured"
Papercraft Kirigami,"kirigami representation of {prompt}, 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed"
Papercraft Paper Mache,"paper mache representation of {prompt}, 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry"
Papercraft Paper Quilling,"paper quilling art of {prompt}, intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry"
Papercraft Papercut Collage,"papercut collage of {prompt}, mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured"
Papercraft Papercut Shadow Box,"3D papercut shadow box of {prompt}, layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured"
Papercraft Stacked Papercut,"stacked papercut art of {prompt}, 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed"
Papercraft Thick Layered Papercut,"thick layered papercut art of {prompt}, deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed"
Photo Alien,"alien-themed {prompt}, extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple"
Photo Film Noir,"film noir style {prompt}, monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful"
Photo Glamour,"glamorous photo {prompt}, high fashion, luxurious, extravagant, stylish, sensual, opulent, elegance, stunning beauty, professional, high contrast, detailed","ugly, deformed, noisy, blurry, distorted, grainy, sketch, low contrast, dull, plain, modest"
Photo Hdr,"HDR photo of {prompt}, High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy"
Photo Iphone Photographic,"iphone photo {prompt}, large depth of field, deep depth of field, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, shallow depth of field, bokeh"
Photo Long Exposure,"long exposure photo of {prompt}, Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast"
Photo Neon Noir,"neon noir {prompt}, cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor"
Photo Silhouette,"silhouette style {prompt}, high contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic"
Photo Tilt Shift,"tilt-shift photo of {prompt}, selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed"
Photographic,"cinematic photo, {prompt}, 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
pixel art,"pixel-art, {prompt}, low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
Texture,"texture, {prompt}, top down close-up","ugly, deformed, noisy, blurry"
Akihito Tsukushi,art by Akihito Tsukushi,
Al Hirschfeld,art by Al Hirschfeld,
Alan Lee,art by Alan Lee,
Albert Bierstadt,art by Albert Bierstadt,
Albert Uderzo,art by Albert Uderzo,
Alberto Giacometti,art by Alberto Giacometti,
Alberto Vargas,art by Alberto Vargas,
Albrecht Durer,art by Albrecht Durer,
Alejandro Burdisio,art by Alejandro Burdisio,
Aleksi Briclot,art by Aleksi Briclot,
Alena Aenami,art by Alena Aenami,
Alessio Albi,art by Alessio Albi,
Alex Gard,art by Alex Gard,
Alex Grey,art by Alex Grey,
Alex Maleev,art by Alex Maleev,
Alexander Jansson,art by Alexander Jansson,
Alexander Milne Calder,art by Alexander Milne Calder,
Alexandre Cabanel,art by Alexandre Cabanel,
Alexei Savrasov,art by Alexei Savrasov,
Alexej von Jawlensky,art by Alexej von Jawlensky,
Alfred Kubin,art by Alfred Kubin,
Alice Neel,art by Alice Neel,
Alice Rahon,art by Alice Rahon,
Alphonse Mucha,art by Alphonse Mucha,
Amanda Clark,art by Amanda Clark,
Amanda Sage,art by Amanda Sage,
Amedeo Modigliani,art by Amedeo Modigliani,
Amelie Bernard,art by Amelie Bernard,
Anders Zorn,art by Anders Zorn,
Andreas Achenbach,art by Andreas Achenbach,
Andrew Wyeth,art by Andrew Wyeth,
André Kertész,art by André Kertész,
André Masson,art by André Masson,
Andy Fairhurst,art by Andy Fairhurst,
Andy Singer,art by Andy Singer,
Andy Warhol,art by Andy Warhol,
Anita Malfatti,art by Anita Malfatti,
Anna Dittmann,art by Anna Dittmann,
Anne Geddes,art by Anne Geddes,
Anne Stokes,art by Anne Stokes,
Anne-Louis Girodet,art by Anne-Louis Girodet,
Annibale Carracci,art by Annibale Carracci,
Annie Leibovitz,art by Annie Leibovitz,
Ansel Adams,art by Ansel Adams,
Anthony van Dyck,art by Anthony van Dyck,
Anton Fadeev,art by Anton Fadeev,
Anton Otto,art by Anton Otto,
Apollonia Saintclair,art by Apollonia Saintclair,
Arkhip Kuindzhi,art by Arkhip Kuindzhi,
Arnold Böcklin,art by Arnold Böcklin,
Arshile Gorky,art by Arshile Gorky,
Art Spiegelman,art by Art Spiegelman,
Artemisia Gentileschi,art by Artemisia Gentileschi,
Arthur Dove,art by Arthur Dove,
Asaf Hanuka,art by Asaf Hanuka,
Asher Brown Durand,art by Asher Brown Durand,
Ashley Wood,art by Ashley Wood,
Audrey Kawasaki,art by Audrey Kawasaki,
Austin Briggs,art by Austin Briggs,
Balthus,art by Balthus,
Banksy,art by Banksy,
Barclay Shaw,art by Barclay Shaw,
Barry Blitt,art by Barry Blitt,
Bastien Lecouffe Deharme,art by Bastien Lecouffe Deharme,
Beatrix Potter,art by Beatrix Potter,
Beauford Delaney,art by Beauford Delaney,
Beeple,art by Beeple,
Ben Shahn,art by Ben Shahn,
Benoit B. Mandelbrot,art by Benoit B. Mandelbrot,
Bernard Buffet,art by Bernard Buffet,
Bernd and Hilla Becher,art by Bernd and Hilla Becher,
Bernie Wrightson,art by Bernie Wrightson,
Berthe Morisot,art by Berthe Morisot,
Bill Plympton,art by Bill Plympton,
Bjarke Ingels,art by Bjarke Ingels,
Bob Byerley,art by Bob Byerley,
Bob Eggleton,art by Bob Eggleton,
Bob Ross,art by Bob Ross,
Boris Vallejo,art by Boris Vallejo,
Brandon Woelfel,art by Brandon Woelfel,
Brian Despain,art by Brian Despain,
Brian Kesinger,art by Brian Kesinger,
Brothers Hildebrandt,art by Brothers Hildebrandt,
Bruce Nauman,art by Bruce Nauman,
Bruce Pennington,art by Bruce Pennington,
Bruno Taut,art by Bruno Taut,
Camille Claudel,art by Camille Claudel,
Camille Corot,art by Camille Corot,
Camille Pissarro,art by Camille Pissarro,
Canaletto,art by Canaletto,
Candido Portinari,art by Candido Portinari,
Caravaggio,art by Caravaggio,
Carl Holsoe,art by Carl Holsoe,
Carl Larsson,art by Carl Larsson,
Carne Griffiths,art by Carne Griffiths,
Caspar David Friedrich,art by Caspar David Friedrich,
Chaim Soutine,art by Chaim Soutine,
Charles Blackman,art by Charles Blackman,
Charles Demuth,art by Charles Demuth,
Charles E. Burchfield,art by Charles E. Burchfield,
Charles Eames,art by Charles Eames,
Charles Rennie Mackintosh,art by Charles Rennie Mackintosh,
Chesley Bonestell,art by Chesley Bonestell,
Chiharu Shiota,art by Chiharu Shiota,
Childe Hassam,art by Childe Hassam,
Chris Foss,art by Chris Foss,
Chris Mars,art by Chris Mars,
Chris Menges,art by Chris Menges,
Chris Moore,art by Chris Moore,
Christopher Doyle,art by Christopher Doyle,
Cindy Sherman,art by Cindy Sherman,
Clarence Holbrook Carter,art by Clarence Holbrook Carter,
Claude Cahun,art by Claude Cahun,
Claude Lorrain,art by Claude Lorrain,
Claude Monet,art by Claude Monet,
Clive Barker,art by Clive Barker,
Clive Madgwick,art by Clive Madgwick,
Clovis Trouille,art by Clovis Trouille,
Clyde Caldwell,art by Clyde Caldwell,
Coby Whitmore,art by Coby Whitmore,
Codex Seraphinianus,art by Codex Seraphinianus,
Coles Phillips,art by Coles Phillips,
Conrad Roset,art by Conrad Roset,
Craig Mullins,art by Craig Mullins,
Cuno Amiet,art by Cuno Amiet,
Dale Chihuly,art by Dale Chihuly,
Damien Hirst,art by Damien Hirst,
Dan Flavin,art by Dan Flavin,
Dan Mumford,art by Dan Mumford,
Daniel Gerhartz,art by Daniel Gerhartz,
Daniel Merriam,art by Daniel Merriam,
Daniel Ridgway Knight,art by Daniel Ridgway Knight,
Dave Gibbons,art by Dave Gibbons,
Dave McKean,art by Dave McKean,
David Alfaro Siqueiros,art by David Alfaro Siqueiros,
David B. Mattingly,art by David B. Mattingly,
David Burliuk,art by David Burliuk,
David Hockney,art by David Hockney,
David Park,art by David Park,
Dean Ellis,art by Dean Ellis,
Dennis Stock,art by Dennis Stock,
Di Cavalcanti,art by Di Cavalcanti,
Diane Arbus,art by Diane Arbus,
Diego Velazquez,art by Diego Velazquez,
Dion Beebe,art by Dion Beebe,
Don Bluth,art by Don Bluth,
Don Maitz,art by Don Maitz,
Donato Giancola,art by Donato Giancola,
Dora Maar,art by Dora Maar,
Dorothea Lange,art by Dorothea Lange,
Dorothea Tanning,art by Dorothea Tanning,
Dorothy Lathrop,art by Dorothy Lathrop,
Doug Chiang,art by Doug Chiang,
E.H. Shepard,art by E.H. Shepard,
Earl Norem,art by Earl Norem,
Ed Binkley,art by Ed Binkley,
Ed Emshwiller,art by Ed Emshwiller,
Ed Mell,art by Ed Mell,
Edgar Degas,art by Edgar Degas,
Edmund Leighton,art by Edmund Leighton,
Edvard Munch,art by Edvard Munch,
Edward Hopper,art by Edward Hopper,
Edward Weston,art by Edward Weston,
Edwin Austen Abbey,art by Edwin Austen Abbey,
Egon Schiele,art by Egon Schiele,
Eikoh Hosoe,art by Eikoh Hosoe,
El Greco,art by El Greco,
Elaine de Kooning,art by Elaine de Kooning,
Ellen Jewett,art by Ellen Jewett,
Elsa Beskow,art by Elsa Beskow,
Emil Melmoth,art by Emil Melmoth,
Emil Nolde,art by Emil Nolde,
Emily Carr,art by Emily Carr,
Emmanuel Lubezki,art by Emmanuel Lubezki,
Enki Bilal,art by Enki Bilal,
Eric Gill,art by Eric Gill,
Eric Lacombe,art by Eric Lacombe,
Erich Heckel,art by Erich Heckel,
Erich Ludwig Kirchner,art by Erich Ludwig Kirchner,
Ernst Fuchs,art by Ernst Fuchs,
Ernst Haeckel,art by Ernst Haeckel,
Esao Andrews,art by Esao Andrews,
Eugène Delacroix,art by Eugène Delacroix,
Eva Hesse,art by Eva Hesse,
Evelyn De Morgan,art by Evelyn De Morgan,
Eyvind Earle,art by Eyvind Earle,
Fairfield Porter,art by Fairfield Porter,
Farel Dalrymple,art by Farel Dalrymple,
Fernand Léger,art by Fernand Léger,
Fernando Botero,art by Fernando Botero,
Filippo Lippi,art by Filippo Lippi,
Francis Bacon,art by Francis Bacon,
Francis Picabia,art by Francis Picabia,
Francisco Goya,art by Francisco Goya,
Frank Auerbach,art by Frank Auerbach,
Frank Frazetta,art by Frank Frazetta,
Frank Lloyd Wright,art by Frank Lloyd Wright,
Frank Miller,art by Frank Miller,
Frank Schoonover,art by Frank Schoonover,
Franklin Booth,art by Franklin Booth,
Franz Kline,art by Franz Kline,
Franz Marc,art by Franz Marc,
Franz Sedlacek,art by Franz Sedlacek,
Franz Xaver Winterhalter,art by Franz Xaver Winterhalter,
Fred Tomaselli,art by Fred Tomaselli,
Frederick Lord Leighton,art by Frederick Lord Leighton,
Frida Kahlo,art by Frida Kahlo,
Friedensreich Regentag Dunkelbunt Hundertwasser,art by Friedensreich Regentag Dunkelbunt Hundertwasser,
Frits Van den Berghe,art by Frits Van den Berghe,
Félix Vallotton,art by Félix Vallotton,
Gabriel Pacheco,art by Gabriel Pacheco,
Garry Trudeau,art by Garry Trudeau,
Gary Larson,art by Gary Larson,
George Inness,art by George Inness,
George Luks,art by George Luks,
Georges Rouault,art by Georges Rouault,
Georges Seurat,art by Georges Seurat,
Georgia O'Keeffe,art by Georgia O'Keeffe,
Gerald Brom,art by Gerald Brom,
Gerhard Munthe,art by Gerhard Munthe,
Gerhard Richter,art by Gerhard Richter,
Gertrude Abercrombie,art by Gertrude Abercrombie,
Giacomo Balla,art by Giacomo Balla,
Giorgio de Chirico,art by Giorgio de Chirico,
Giuseppe Arcimboldo,art by Giuseppe Arcimboldo,
Glenn Fabry,art by Glenn Fabry,
Go Nagai,art by Go Nagai,
Gottfried Helnwein,art by Gottfried Helnwein,
Graciela Iturbide,art by Graciela Iturbide,
Grandma Moses,art by Grandma Moses,
Greg Hildebrandt,art by Greg Hildebrandt,
Greg Rutkowski,art by Greg Rutkowski,
Gregory Crewdson,art by Gregory Crewdson,
Guido Borelli da Caluso,art by Guido Borelli da Caluso,
Guillermo del Toro,art by Guillermo del Toro,
Gustav Klimt,art by Gustav Klimt,
Gustav Vigeland,art by Gustav Vigeland,
Gustave Caillebotte,art by Gustave Caillebotte,
Gustave Courbet,art by Gustave Courbet,
Gustave Dore,art by Gustave Dore,
Gustave Moreau,art by Gustave Moreau,
H. R. Giger,art by H. R. Giger,
Hal Foster,art by Hal Foster,
Hannah Höch,art by Hannah Höch,
Hans Baldung,art by Hans Baldung,
Hans Bellmer,art by Hans Bellmer,
Harold Elliott,art by Harold Elliott,
Harriet Backer,art by Harriet Backer,
Harry Clarke,art by Harry Clarke,
Harry Gruyaert,art by Harry Gruyaert,
Heinrich Kley,art by Heinrich Kley,
Hendrik Kerstens,art by Hendrik Kerstens,
Henri de Toulouse-Lautrec,art by Henri de Toulouse-Lautrec,
Henri Harpignies,art by Henri Harpignies,
Henri Matisse,art by Henri Matisse,
Henri Rousseau,art by Henri Rousseau,
Henri-Edmond Cross,art by Henri-Edmond Cross,
Henry Ossawa Tanner,art by Henry Ossawa Tanner,
Hergé,art by Hergé,
Hieronymus Bosch,art by Hieronymus Bosch,
Hilma af Klint,art by Hilma af Klint,
Hirohiko Araki,art by Hirohiko Araki,
Hiromu Arakawa,art by Hiromu Arakawa,
Hiroshi Nagai,art by Hiroshi Nagai,
Hiroshi Yoshida,art by Hiroshi Yoshida,
Hokusai,art by Hokusai,
Honore Daumier,art by Honore Daumier,
Hope Gangloff,art by Hope Gangloff,
Howard Finster,art by Howard Finster,
Howard Hodgkin,art by Howard Hodgkin,
Hubert Robert,art by Hubert Robert,
Hugh Ferriss,art by Hugh Ferriss,
Hugh Kretschmer,art by Hugh Kretschmer,
Hundertwasser,art by Hundertwasser,
Ian McQue,art by Ian McQue,
Ian Miller,art by Ian Miller,
Igor Morski,art by Igor Morski,
Ilkka Uimonen,art by Ilkka Uimonen,
Ilya Repin,art by Ilya Repin,
Irma Stern,art by Irma Stern,
Isaac Levitan,art by Isaac Levitan,
Isamu Noguchi,art by Isamu Noguchi,
Ivan Aivazovsky,art by Ivan Aivazovsky,
Ivan Albright,art by Ivan Albright,
Ivan Generalic,art by Ivan Generalic,
Ivan Shishkin,art by Ivan Shishkin,
J. J. Grandville,art by J. J. Grandville,
J.C. Leyendecker,art by J.C. Leyendecker,
J.M.W. Turner,art by J.M.W. Turner,
Jacek Yerka,art by Jacek Yerka,
Jack Butler Yeats,art by Jack Butler Yeats,
Jack Davis,art by Jack Davis,
Jack Gaughan,art by Jack Gaughan,
Jack Kirby,art by Jack Kirby,
Jackson Pollock,art by Jackson Pollock,
Jacob Lawrence,art by Jacob Lawrence,
Jacob Riis,art by Jacob Riis,
Jacques-Laurent Agasse,art by Jacques-Laurent Agasse,
Jakub Rozalski,art by Jakub Rozalski,
James Abbott McNeill Whistler,art by James Abbott McNeill Whistler,
James C. Christensen,art by James C. Christensen,
James Ensor,art by James Ensor,
James Jean,art by James Jean,
James Turrell,art by James Turrell,
Jan van Goyen,art by Jan van Goyen,
Jaroslaw Jasnikowski,art by Jaroslaw Jasnikowski,
Jasmine Becket-Griffith,art by Jasmine Becket-Griffith,
Jason Edmiston,art by Jason Edmiston,
Jason Limon,art by Jason Limon,
Jean Arp,art by Jean Arp,
Jean Delville,art by Jean Delville,
Jean Giraud (Moebius),art by Jean Giraud (Moebius),
Jean Leon Gerome,art by Jean Leon Gerome,
Jean Metzinger,art by Jean Metzinger,
Jean-Auguste-Dominique Ingres,art by Jean-Auguste-Dominique Ingres,
Jean-Baptiste Carpeaux,art by Jean-Baptiste Carpeaux,
Jean-Baptiste-Siméon Chardin,art by Jean-Baptiste-Siméon Chardin,
Jean-Honore Fragonard,art by Jean-Honore Fragonard,
Jean-Michel Basquiat,art by Jean-Michel Basquiat,
Jean-Pierre Vasarely (Yvaral),art by Jean-Pierre Vasarely (Yvaral),
Jeff Easley,art by Jeff Easley,
Jeff Koons,art by Jeff Koons,
Jeff Lemire,art by Jeff Lemire,
Jeffrey Catherine Jones,art by Jeffrey Catherine Jones,
Jeffrey Smith,art by Jeffrey Smith,
Jeffrey T. Larson,art by Jeffrey T. Larson,
Jeremy Geddes,art by Jeremy Geddes,
Jeremy Lipking,art by Jeremy Lipking,
Jeremy Mann,art by Jeremy Mann,
Jesper Ejsing,art by Jesper Ejsing,
Jim Burns,art by Jim Burns,
Jim Fitzpatrick,art by Jim Fitzpatrick,
Jim Lee,art by Jim Lee,
Jim Steranko,art by Jim Steranko,
Jithesh,art by Jithesh,
Joan Miró,art by Joan Miró,
Joaquin Sorolla,art by Joaquin Sorolla,
Johan Christian Dahl,art by Johan Christian Dahl,
Johannes Vermeer,art by Johannes Vermeer,
Johfra Bosschart,art by Johfra Bosschart,
John Atkinson Grimshaw,art by John Atkinson Grimshaw,
John Bauer,art by John Bauer,
John Berkey,art by John Berkey,
John Blanche,art by John Blanche,
John Carpenter,art by John Carpenter,
John Constable,art by John Constable,
John Duncan,art by John Duncan,
John Frederick Kensett,art by John Frederick Kensett,
John Harris,art by John Harris,
John Hoyland,art by John Hoyland,
John James Audubon,art by John James Audubon,
John Kenn Mortensen,art by John Kenn Mortensen,
John Kricfalusi,art by John Kricfalusi,
John Martin,art by John Martin,
John Perceval,art by John Perceval,
John Philip Falter,art by John Philip Falter,
John Romita Jr,art by John Romita Jr,
John Singer Sargent,art by John Singer Sargent,
John Stephens,art by John Stephens,
John William Waterhouse,art by John William Waterhouse,
Jonas Bendiksen,art by Jonas Bendiksen,
Josan Gonzalez,art by Josan Gonzalez,
Joseph Cornell,art by Joseph Cornell,
Joseph Ducreux,art by Joseph Ducreux,
Joseph Stella,art by Joseph Stella,
Josephine Wall,art by Josephine Wall,
Jules Bastien-Lepage,art by Jules Bastien-Lepage,
Jules Feiffer,art by Jules Feiffer,
Jules Pascin,art by Jules Pascin,
Junji Ito,art by Junji Ito,
Justin Gerard,art by Justin Gerard,
Kaethe Butcher,art by Kaethe Butcher,
Kaja Foglio,art by Kaja Foglio,
Karel Thole,art by Karel Thole,
Karl Blossfeldt,art by Karl Blossfeldt,
Karl Schmidt-Rottluff,art by Karl Schmidt-Rottluff,
Karol Bak,art by Karol Bak,
Kate Greenaway,art by Kate Greenaway,
Kathe Kollwitz,art by Kathe Kollwitz,
Katsuhiro Otomo,art by Katsuhiro Otomo,
Katsushika Hokusai,art by Katsushika Hokusai,
Kay Nielsen,art by Kay Nielsen,
Kay Sage,art by Kay Sage,
Kazimir Malevich,art by Kazimir Malevich,
Kehinde Wiley,art by Kehinde Wiley,
Kelly Freas,art by Kelly Freas,
Kelly McKernan,art by Kelly McKernan,
Ken Sugimori,art by Ken Sugimori,
Kenojuak Ashevak,art by Kenojuak Ashevak,
Kentaro Miura,art by Kentaro Miura,
Kilian Eng,art by Kilian Eng,
Kim Jung Gi,art by Kim Jung Gi,
Kuang Hong,art by Kuang Hong,
Larry Elmore,art by Larry Elmore,
Lasar Segall,art by Lasar Segall,
Laurel Burch,art by Laurel Burch,
Laurie Greasley,art by Laurie Greasley,
Laurie Lipton,art by Laurie Lipton,
Lawren Harris,art by Lawren Harris,
Le caravaggesque,art by Le caravaggesque,
Lee Krasner,art by Lee Krasner,
Lee Madgwick,art by Lee Madgwick,
Leiji Matsumoto,art by Leiji Matsumoto,
Leon Bankst,art by Leon Bankst,
Leonardo da Vinci,art by Leonardo da Vinci,
Leonid Afremov,art by Leonid Afremov,
Liam Wong,art by Liam Wong,
Liniers,art by Liniers,
Lisa Frank,art by Lisa Frank,
Louis Comfort Tiffany,art by Louis Comfort Tiffany,
Louis Wain,art by Louis Wain,
Lovis Corinth,art by Lovis Corinth,
Luc Schuiten,art by Luc Schuiten,
Lucian Freud,art by Lucian Freud,
Luis Royo,art by Luis Royo,
Lyonel Feininger,art by Lyonel Feininger,
Lyubov Popova,art by Lyubov Popova,
M.C. Escher,art by M.C. Escher,
M.W. Kaluta,art by M.W. Kaluta,
Mab Graves,art by Mab Graves,
Makoto Shinkai,art by Makoto Shinkai,
Malcolm Liepke,art by Malcolm Liepke,
Man Ray,art by Man Ray,
Marc Chagall,art by Marc Chagall,
Marc Simonetti,art by Marc Simonetti,
Marco Mazzoni,art by Marco Mazzoni,
Marek Okon,art by Marek Okon,
Margaret Boden,art by Margaret Boden,
Margaret Bruce Wells,art by Margaret Bruce Wells,
Margaret Brundage,art by Margaret Brundage,
Margaret Garland,art by Margaret Garland,
Margaret Geddes,art by Margaret Geddes,
Margaret Graeme Niven,art by Margaret Graeme Niven,
Margaret Keane,art by Margaret Keane,
Margaret Macdonald Mackintosh,art by Margaret Macdonald Mackintosh,
Maria Prymachenko,art by Maria Prymachenko,
Maria Sibylla Merian,art by Maria Sibylla Merian,
Marianne von Werefkin,art by Marianne von Werefkin,
Mario Testino,art by Mario Testino,
Marjorie Strider,art by Marjorie Strider,
Mark Brooks,art by Mark Brooks,
Mark Catesby,art by Mark Catesby,
Mark Lague,art by Mark Lague,
Mark Rothko,art by Mark Rothko,
Mark Ryden,art by Mark Ryden,
Marsden Hartley,art by Marsden Hartley,
Martin Johnson Heade,art by Martin Johnson Heade,
Martin Parr,art by Martin Parr,
Martiros Saryan,art by Martiros Saryan,
Mary Blair,art by Mary Blair,
Mary Cassatt,art by Mary Cassatt,
Masamune Shirow,art by Masamune Shirow,
